comments,id,issues,latitude,longitude,parking_duration,parking_time,issue_not_provided,issue_full,issue_damaged,issue_abandoned,issue_other,parking_time_parsed,Status,Notes,Survey_Date,View,Asset,Check_311_Date,Check_311_Notes,City_Problem_Type
,34,"['not_provided', 'abandoned']",43.6710107,-79.3739237,overnight,"Wed, 27 Sep 2023 02:02:50 GMT",TRUE,FALSE,FALSE,TRUE,FALSE,2023-09-27,,,,🌎👀,,,,
"Hi, the bike rack in front of 829 Dundas St W is missing the cap cover. It is overflowing with debris like cigarette butts because it is located next to the bar Dundas Video.",35,['damaged'],43.65182799,-79.40798879,minutes,"Wed, 27 Sep 2023 20:04:52 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2023-09-27,,,,🌎👀,,,,Cap missing
,36,['not_provided'],43.63955418,-79.44633495,hours,"Wed, 27 Sep 2023 18:30:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-09-27,,,,🌎👀,,,,
No municipal bike rack provided ,37,['not_provided'],43.64269045,-79.52985764,overnight,"Thu, 28 Sep 2023 11:37:42 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-09-28,,,,🌎👀,,,,
There is very little bike parking on Bay St between Queen and Wellington. ,38,['not_provided'],43.64743796,-79.37977195,hours,"Fri, 29 Sep 2023 01:55:27 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-09-29,,,,🌎👀,,,,
Many local businesses here. There used to be 2 or 3 post and rings that have been removed about a year ago. Please replace them.,39,['not_provided'],43.67244696,-79.41412008,minutes,"Fri, 29 Sep 2023 12:31:04 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-09-29,,,,🌎👀,,,,
,40,['not_provided'],43.67115889,-79.37803497,minutes,"Fri, 06 Oct 2023 14:38:56 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-10-06,,,,🌎👀,,,,
,41,['not_provided'],43.6710177,-79.3738677,overnight,"Mon, 09 Oct 2023 16:09:22 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-10-09,,,,🌎👀,,,,
Bike has been here forever,42,['damaged'],43.65996705,-79.37787536,hours,"Sat, 01 Jun 2019 14:42:10 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2019-06-01,,,,🌎👀,,,,
No bike parking anywhere close by. This is a bike route with many shops/restaurants and no bike rings. This makes no sense at all and I almost left before finding a small retaining wall with some basic metal rails that worked.,43,['not_provided'],43.70594671,-79.44232847,minutes,"Tue, 23 Jul 2019 16:55:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2019-07-23,,,,🌎👀,,,,
,44,['not_provided'],43.68722164,-79.39834643,hours,"Fri, 23 Aug 2019 19:25:38 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2019-08-23,,,,🌎👀,,,,
,45,['full'],43.64736042,-79.39553453,hours,"Thu, 07 Jun 2018 19:10:59 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-07,,,,🌎👀,,,,
Several abandoned bikes on rack at Regent Park community centre. ,46,['damaged'],43.65844592,-79.35949828,hours,"Thu, 10 Oct 2019 00:19:30 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2019-10-10,,,,🌎👀,,,,
No bike parking at all on block LCBO and dollar store are high volume retail for local bike community. Some parking in front of metro always full.,47,['not_provided'],43.65104716,-79.36519648,minutes,"Wed, 27 May 2020 15:57:19 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2020-05-27,,,,🌎👀,,,,
,48,['damaged'],43.64106232,-79.37698369,multiday,"Tue, 12 Jun 2018 22:40:00 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-12,,,,🌎👀,,,,
,49,['damaged'],43.6394732,-79.3810793,multiday,"Wed, 13 Jun 2018 00:43:21 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-13,Needs Checking,Known hacknight location,,🌎👀,,,,
,50,['other'],43.652861,-79.3832391,hours,"Thu, 14 Jun 2018 19:28:55 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-14,,,,🌎👀,,,,
,51,['full'],43.65278248,-79.38370235,hours,"Fri, 15 Jun 2018 00:47:29 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-15,,,,🌎👀,,,,
,52,['full'],43.64977129,-79.38812818,hours,"Fri, 15 Jun 2018 13:20:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-15,,,,🌎👀,,,,
,53,['damaged'],43.6711159,-79.4141105,hours,"Wed, 20 Jun 2018 00:06:42 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-20,,,,🌎👀,,,,
,54,['full'],43.63961326,-79.38086061,hours,"Wed, 20 Jun 2018 00:43:03 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-20,Needs Checking,Known hacknight location,,🌎👀,,,,
,55,['damaged'],43.69848,-79.3014735,hours,"Wed, 20 Jun 2018 16:12:29 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-20,Invalid,Small supercluster; residential street with no apparent parking structure,,🌎👀,,,,
,56,['other'],43.6416433,-79.38075259,overnight,"Wed, 27 Jun 2018 00:11:33 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-27,,,,🌎👀,,,,
,57,['damaged'],43.6584186,-79.4816268,overnight,"Wed, 27 Jun 2018 03:35:43 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-27,Invalid,Likely test given comment in #77,,🌎👀,,,,
This is a large shopping plaza and the retail along Rogers also services transit riders and walk in customers. It’s an urban environment and should have bike rings on Rogers or Keele. ,59,['not_provided'],43.68211164,-79.472045,minutes,"Wed, 27 Jun 2018 23:30:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-27,,,,🌎👀,,,,
"Hello, it would be awesome if we could get bike parking posts installed on the sidewalk in front of 383 Sorauren Avenue.There's a ton of room there so I imagine you could fit at least four parking posts there!Thank you!",60,['not_provided'],43.65049714,-79.44499101,hours,"Fri, 29 Jun 2018 15:09:50 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
,61,['full'],43.6486432,-79.3927282,minutes,"Fri, 29 Jun 2018 18:35:29 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
It's always so full when the weather is nice. Lots of people commute to work.,62,['full'],43.67048047,-79.38686635,hours,"Thu, 28 Jun 2018 13:30:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-28,,,,🌎👀,,,,
,63,"['not_provided', 'full', 'damaged', 'damaged', 'other']",43.6580617,-79.3864974,hours,"Tue, 03 Jul 2018 16:17:51 GMT",TRUE,TRUE,TRUE,FALSE,TRUE,2018-07-03,Needs Checking,Issues selected more than once - may be a test?; Elizabeth & Gerrard supercluster,,🌎👀,,,,
,64,['damaged'],43.70390617,-79.31159625,hours,"Wed, 04 Jul 2018 03:52:41 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-07-04,,,,🌎👀,,,,
"This stretch of Richmond Ave is near my office. During the day, there can be bikes chained to every pole and fence. There are no ring-and-posts on this block.",65,['not_provided'],43.64460861,-79.41140976,hours,"Thu, 09 May 2019 13:04:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2019-05-09,,,,🌎👀,,,,
,66,['not_provided'],43.76566009,-79.41223613,minutes,"Wed, 06 Jun 2018 02:24:06 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-06,,,,🌎👀,,,,
,67,['damaged'],43.66529844,-79.3690538,minutes,"Mon, 11 Jun 2018 00:58:03 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-11,,,,🌎👀,,,,
,68,"['full', 'damaged']",43.63977013,-79.38149667,hours,"Wed, 13 Jun 2018 00:10:55 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2018-06-13,Needs Checking,Known hacknight location,,🌎👀,,,,
,69,['other'],43.6929707,-79.3026805,multiday,"Wed, 13 Jun 2018 13:49:26 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-13,Invalid,Likely test entry/small supercluster,,🌎👀,,,,
"On King St E, north side, in front of Wolf/SubZero showroom, across street from Rooster Coffee",70,['damaged'],43.65187722,-79.36558347,minutes,"Thu, 10 Oct 2019 00:42:59 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2019-10-10,,,,🌎👀,,,,
,71,['damaged'],43.6526911,-79.38369312,multiday,"Fri, 15 Jun 2018 00:48:33 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-15,,,,🌎👀,,,,
,72,['damaged'],43.6392773,-79.3808622,multiday,"Wed, 20 Jun 2018 00:50:42 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-20,Needs Checking,Known hacknight location,,🌎👀,,,,
,73,['other'],43.69848,-79.3014735,multiday,"Wed, 20 Jun 2018 16:24:59 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-20,Invalid,Small supercluster; likely test entry,,🌎👀,,,,
,75,['damaged'],43.6659352,-79.4074303,multiday,"Mon, 25 Jun 2018 23:19:34 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-25,,,,🌎👀,,,,
,76,['other'],43.6416433,-79.38075259,overnight,"Wed, 27 Jun 2018 00:11:33 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-27,Invalid,Duplicate of #56,,🌎👀,,,,
This is a comment!,77,['damaged'],43.6584186,-79.4816268,overnight,"Wed, 27 Jun 2018 03:35:43 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-27,Invalid,Duplicate of #57,,🌎👀,,,,
,78,['damaged'],43.65792261,-79.40354007,hours,"Wed, 27 Jun 2018 15:47:27 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-27,,,,🌎👀,,,,
Test. ****. ****.,80,['full'],43.65365271,-79.37422361,hours,"Fri, 29 Jun 2018 15:35:36 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-29,Invalid,Appears to be a test entry,,🌎👀,,,,
,81,['not_provided'],43.70330783,-79.36363477,minutes,"Fri, 29 Jun 2018 18:59:03 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
Too many people visiting the park today. ,82,['full'],43.65156481,-79.37304539,hours,"Sun, 01 Jul 2018 16:49:25 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-01,,,,🌎👀,,,,
,83,"['not_provided', 'full', 'damaged', 'damaged', 'other']",43.6580617,-79.3864974,hours,"Tue, 03 Jul 2018 16:17:51 GMT",TRUE,TRUE,TRUE,FALSE,TRUE,2018-07-03,Invalid,Duplicate of #63; Elizabeth & Gerrard supercluster,,🌎👀,,,,
,84,['damaged'],43.6580617,-79.3864974,minutes,"Wed, 04 Jul 2018 05:14:32 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-07-04,Caution,Elizabeth & Gerrard supercluster,,🌎👀,,,,
Tons of parking. All full. ,85,['full'],43.647372,-79.3957789,minutes,"Thu, 05 Jul 2018 14:53:36 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-05,,,,🌎👀,,,,
,86,['full'],43.64952915,-79.3888193,hours,"Thu, 05 Jul 2018 18:30:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-05,,,,🌎👀,,,,
Bike was abandoned here months ago,87,['damaged'],43.64938887,-79.42171833,hours,"Wed, 05 Jun 2019 17:43:16 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2019-06-05,,,,🌎👀,,,,
,88,['not_provided'],43.60427875,-79.51810583,hours,"Fri, 26 Jul 2019 17:46:25 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2019-07-26,,,,🌎👀,,,,
,89,['not_provided'],43.76810273,-79.41301457,hours,"Sun, 10 Jun 2018 20:09:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-10,,,,🌎👀,,,,
,90,['full'],43.652739,-79.38369434,hours,"Fri, 15 Jun 2018 00:49:31 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-15,,,,🌎👀,,,,
,91,['not_provided'],43.64123128,-79.41973533,hours,"Mon, 18 Jun 2018 12:45:03 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-18,,,,🌎👀,,,,
,92,['damaged'],43.6392603,-79.3808429,hours,"Wed, 20 Jun 2018 00:14:55 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-20,Needs Checking,Known hacknight location,,🌎👀,,,,
,93,['other'],43.63966891,-79.38107829,multiday,"Wed, 20 Jun 2018 00:54:39 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-20,Needs Checking,Known hacknight location,,🌎👀,,,,
,94,['other'],43.69848,-79.3014735,multiday,"Wed, 20 Jun 2018 16:25:34 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-20,Invalid,Small supercluster; likely test entry,,🌎👀,,,,
,95,['other'],43.6529123,-79.3836865,hours,"Thu, 21 Jun 2018 23:17:19 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-21,,,,🌎👀,,,,
,96,['other'],43.6580617,-79.3864974,hours,"Mon, 25 Jun 2018 23:43:46 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-25,Caution,Elizabeth & Gerrard supercluster,,🌎👀,,,,
,97,['damaged'],43.63973035,-79.38125975,hours,"Wed, 27 Jun 2018 00:15:38 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-27,Needs Checking,Known hacknight location,,🌎👀,,,,
Great application.  Easy to use.  ,98,['not_provided'],43.65289197,-79.37070455,hours,"Tue, 26 Jun 2018 14:07:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-26,,,,🌎👀,,,,
,99,['not_provided'],43.64841539,-79.39251436,hours,"Wed, 27 Jun 2018 15:48:33 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-27,,,,🌎👀,,,,
,100,['other'],43.6564203,-79.383435,overnight,"Thu, 28 Jun 2018 20:03:06 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-28,Needs Checking,Known hacknight location,,🌎👀,,,,
Broken post and ring at 990 Bloor Street West.,101,['damaged'],43.66113538,-79.43001356,multiday,"Fri, 29 Jun 2018 15:59:49 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
"several bikes outside the Subway sandwich shop have been abandoned and are in a state of disrepair, taking up the side walk and stopping people from actually using the locks",102,['damaged'],43.68175253,-79.42609485,hours,"Fri, 29 Jun 2018 22:51:37 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
,104,['not_provided'],43.6580617,-79.3864974,minutes,"Thu, 05 Jul 2018 17:02:48 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-07-05,Caution,Elizabeth & Gerrard supercluster,,🌎👀,,,,
Shortage of parking outside St Lawrence market. ,105,"['full', 'not_provided']",43.64882081,-79.3717676,hours,"Thu, 05 Jul 2018 23:23:00 GMT",TRUE,TRUE,FALSE,FALSE,FALSE,2018-07-05,,,,🌎👀,,,,
,106,['damaged'],43.6929846,-79.3024982,hours,"Sat, 07 Jul 2018 19:44:11 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-07-07,Caution,Likely test entry/small supercluster,,🌎👀,,,,
,107,"['damaged', 'damaged', 'full']",43.6580617,-79.3864974,minutes,"Sun, 08 Jul 2018 20:44:27 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2018-07-08,Caution,Issue selected more than once; Elizabeth & Gerrard supercluster,,🌎👀,,,,
"There is some parking between manning and Clinton, but clearly not enough. Ring and posts are full and bikes are locked to various other structures. ",108,"['full', 'damaged']",43.6639729,-79.4167488,hours,"Wed, 11 Jul 2018 22:18:47 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2018-07-11,,,,🌎👀,,,,
"There seems to be no biking parking at all at the beach by the Scarborough bluffs, we had to lock our bikes to trees/sign posts.",109,['not_provided'],43.71296063,-79.22859039,hours,"Sun, 08 Jul 2018 17:35:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-07-08,,,,🌎👀,,,,
,110,['full'],43.66199303,-79.40188523,hours,"Fri, 13 Jul 2018 00:45:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-13,,,,🌎👀,,,,
I'm **** **** there wasn't parking.,111,['full'],43.67179036,-79.38711676,hours,"Wed, 05 Jun 2019 23:00:29 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2019-06-05,,,,🌎👀,,,,
,112,['not_provided'],43.60478121,-79.51438303,hours,"Sun, 28 Jul 2019 20:22:26 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2019-07-28,,,,🌎👀,,,,
,113,['not_provided'],43.65304026,-79.37120299,hours,"Wed, 06 Jun 2018 19:41:28 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-06,,,,🌎👀,,,,
,114,['not_provided'],43.76810273,-79.41301457,hours,"Sun, 10 Jun 2018 20:09:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-10,Invalid,Duplicate of #89,,🌎👀,,,,
,115,['not_provided'],43.64849556,-79.37345115,hours,"Fri, 15 Jun 2018 00:30:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-15,,,,🌎👀,,,,
,116,['not_provided'],43.64763638,-79.37279893,overnight,"Mon, 18 Jun 2018 13:43:39 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-18,,,,🌎👀,,,,
,117,['damaged'],43.6393284,-79.3810697,minutes,"Wed, 20 Jun 2018 00:12:33 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-20,Needs Checking,Known hacknight location,,🌎👀,,,,
,118,['damaged'],43.6395299,-79.3810923,minutes,"Wed, 20 Jun 2018 00:40:26 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-06-20,Needs Checking,Known hacknight location,,🌎👀,,,,
,119,['other'],43.6580617,-79.3864974,hours,"Mon, 25 Jun 2018 23:43:46 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-25,Invalid,Duplicate of #96; Elizabeth & Gerrard supercluster,,🌎👀,,,,
,121,['other'],43.6931427,-79.3023312,hours,"Wed, 27 Jun 2018 12:12:55 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-27,Invalid,Likely test entry/small supercluster,,🌎👀,,,,
,122,['other'],43.64853598,-79.39263483,hours,"Wed, 27 Jun 2018 17:41:08 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-27,,,,🌎👀,,,,
very popular spot and posts in front of CSI Spadina are at capacity,123,['full'],43.65040168,-79.39678219,minutes,"Thu, 21 Jun 2018 20:28:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-21,,,,🌎👀,,,,
The owners of the parking garage at 438 University should be lobbied to restore their secure bike locker for the tenants in the building above.,124,['not_provided'],43.6544133,-79.3885259,hours,"Fri, 29 Jun 2018 16:09:27 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
,125,['full'],43.66115675,-79.41326201,minutes,"Fri, 29 Jun 2018 23:05:01 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-06-29,,,,🌎👀,,,,
Need more secure options around this area. It's crawling with junkies and thieves that will steal anything off your bike :(,126,['other'],43.65571326,-79.38308908,hours,"Fri, 29 Jun 2018 00:00:00 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-06-29,,,,🌎👀,,,,
,127,['full'],43.64730516,-79.36151878,hours,"Tue, 03 Jul 2018 23:05:30 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-03,,,,🌎👀,,,,
,128,['other'],43.6929846,-79.3024982,hours,"Thu, 05 Jul 2018 04:32:21 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2018-07-05,Invalid,Likely test entry/small supercluster,,🌎👀,,,,
,129,['not_provided'],43.6580617,-79.3864974,minutes,"Thu, 05 Jul 2018 17:03:32 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-07-05,Caution,Elizabeth & Gerrard supercluster,,🌎👀,,,,
,130,['damaged'],43.6580617,-79.3864974,minutes,"Fri, 06 Jul 2018 14:31:17 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2018-07-06,Caution,Elizabeth & Gerrard supercluster,,🌎👀,,,,
,131,['not_provided'],43.6799055,-79.3450112,hours,"Sat, 07 Jul 2018 21:53:46 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2018-07-07,Resolved,Several parking options by the station,2024-03-23,🌎👀,,,,
Christie pits public pool,132,['full'],43.6657913,-79.4206001,minutes,"Sun, 08 Jul 2018 21:25:20 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-08,,,,🌎👀,,,,
Was trying to park on the east side of Spadina north of Dundas. There are only a few ring and posts near the intersection. I wound up walking a while north to find something. ,133,['full'],43.65314814,-79.39782705,minutes,"Thu, 05 Jul 2018 21:00:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,2018-07-05,,,,🌎👀,,,,
