,url,title,comments_from_registry,comments_by_email,comments_by_mail,page_file
011-6556,/notice/011-6556,"Amendment to Ontario Regulation 316/07 under the Provincial Parks and Conservation Reserves Act, 2006 to add land to Bronte Creek Provincial Park (P4432)",0,0,0,notice-310.json
011-7177,/notice/011-7177,Niagara Escarpment Plan Amendment PS 194 12,0,7,0,notice-150.json
011-7326,/notice/011-7326,"1537763 Ontario Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,0,12,notice-180.json
011-7913,/notice/011-7913,"Arbour Farms Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,0,0,notice-117.json
011-8197,/notice/011-8197,"Management Plans for Wabakimi, Kopka River and Whitesand Provincial Parks",27,0,0,notice-311.json
011-8864,/notice/011-8864,"Rolling Rock Resources Corporation
      
         - Mineral exploration permit",0,0,0,notice-281.json
011-8871,/notice/011-8871,"Canadian Chestnut Council
      
         - Stewardship agreement to help protect or recover a species at risk",0,0,0,notice-190.json
011-8896,/notice/011-8896,"Greenwood Construction Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,3,notice-313.json
011-8898,/notice/011-8898,"Greenwood Construction Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,3,notice-313.json
011-8923,/notice/011-8923,Update to the Permit Applicant Guide for Pesticide Use to Control Larvae of Mosquitoes and/or other Biting Flies,0,0,0,notice-246.json
012-0212,/notice/012-0212,"761368 Ontario Inc.
      
         - Revocation of a licence to operate a pit or quarry",0,0,0,notice-315.json
012-0345,/notice/012-0345,"Great Lakes Power Limited
      
         - Permit to take water",0,0,0,notice-261.json
012-0346,/notice/012-0346,"Great Lakes Power Limited
      
         - Permit to take water",0,0,0,notice-262.json
012-0347,/notice/012-0347,"Great Lakes Power Limited
      
         - Permit to take water",0,0,0,notice-262.json
012-0370,/notice/012-0370,Elk Population Objectives for the Nipissing French-River Herd (Sudbury),1,1,0,notice-114.json
012-0431,/notice/012-0431,Niagara Escarpment Plan Amendment PC 197 13,0,0,1,notice-361.json
012-0897,/notice/012-0897,"Maurice Yelle Excavation Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,4,notice-279.json
012-0903,/notice/012-0903,"Brian and Pearl Bumstead
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",12,0,33,notice-298.json
012-0919,/notice/012-0919,"CBM St Mary’s Cement
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,0,129,notice-298.json
012-1662,/notice/012-1662,"John Rapski
      
         - Mineral exploration permit",0,0,0,notice-360.json
012-1695,/notice/012-1695,"Lafarge Canada Inc.
      
         - Changes to the site plan for a pit or quarry",0,1,0,notice-396.json
012-1696,/notice/012-1696,"Lafarge Canada Inc.
      
         - Changes to the site plan for a pit or quarry",0,0,1,notice-389.json
012-1697,/notice/012-1697,"Lafarge Canada Inc.
      
         - Changes to the site plan for a pit or quarry",0,0,1,notice-389.json
012-1940,/notice/012-1940,"Hustonville Sand & Gravel Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,8,notice-125.json
012-2332,/notice/012-2332,"John Rapski
      
         - Mineral exploration permit",0,0,0,notice-365.json
012-2395,/notice/012-2395,"John Rapski
      
         - Mineral exploration permit",0,0,0,notice-360.json
012-2411,/notice/012-2411,"John Rapski
      
         - Mineral exploration permit",0,0,0,notice-360.json
012-2541,/notice/012-2541,Elk Population Objectives for the Lake Huron North Shore Herd (Blind River),8,1,0,notice-114.json
012-2587,/notice/012-2587,"Canada Chrome Corporation
      
         - Mineral exploration permit",0,0,0,notice-362.json
012-2616,/notice/012-2616,"Vicdom Sand & Gravel (Ontario) Ltd
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,5,notice-195.json
012-2676,/notice/012-2676,"Township of Whitewater Region 
      
         - Approval to amend a municipality’s official plan",0,0,11,notice-187.json
012-2849,/notice/012-2849,Niagara Escarpment Plan Amendment PB 196 13 – Ontario Heritage Trust,0,5,0,notice-389.json
012-2863,/notice/012-2863,"Canada Chrome Corporation
      
         - Mineral exploration permit",0,0,0,notice-362.json
012-2877,/notice/012-2877,Niagara Escarpment Plan Amendment PG 203 14: Kerbel – Duncan Lake,0,4,0,notice-389.json
012-2896,/notice/012-2896,"Canada Chrome Corporation
      
         - Mineral exploration permit",0,0,0,notice-361.json
012-2944,/notice/012-2944,"Canada Chrome Corporation
      
         - Mineral exploration permit",0,0,0,notice-361.json
012-3121,/notice/012-3121,"Makhteshim Agan of North America Inc.
      
         - Classification, reclassification or declassification of a pesticide",0,0,1,notice-273.json
012-3122,/notice/012-3122,"Cheminova Canada Incorporated
      
         - Classification, reclassification or declassification of a pesticide",0,0,1,notice-273.json
012-3125,/notice/012-3125,"Bayer CropScience Inc.
      
         - Classification, reclassification or declassification of a pesticide",0,0,1,notice-273.json
012-3200,/notice/012-3200,"D’Arcey Sand & Gravel Ltd
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,3,0,notice-125.json
012-3249,/notice/012-3249,"Valerie Falls General Partner Limited
      
         - Permit to take water",0,0,0,notice-262.json
012-3329,/notice/012-3329,Amend Regulation 316/07 under the Provincial Parks and Conservation Reserves Act to make minor amendments to the boundaries of LaVerendrye and Pigeon River provincial parks to add acquired lands,1,1,2,notice-310.json
012-3357,/notice/012-3357,"John Rapski
      
         - Mineral exploration permit",0,0,0,notice-360.json
012-3678,/notice/012-3678,"Township of Southgate
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",2,3,0,notice-63.json
012-3896,/notice/012-3896,"Carlyle Development Corp.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,5,0,notice-390.json
012-3976,/notice/012-3976,"Domtar Inc.
      
         - Permit to take water",0,0,0,notice-266.json
012-4064,/notice/012-4064,"Barbara Sersion
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,7,notice-389.json
012-4198,/notice/012-4198,"Tri-County Aggregates Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,4,0,notice-390.json
012-4296,/notice/012-4296,"Miller Waste Durham Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-385.json
012-4341,/notice/012-4341,A Stocking Plan for the Ontario Waters of Lake Superior,14,0,0,notice-380.json
012-4375,/notice/012-4375,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-276.json
012-4408,/notice/012-4408,"Ragged Chute Energy Inc.
      
         - Permit to take water",0,0,0,notice-261.json
012-4414,/notice/012-4414,"Scott Keevil
      
         - Mineral exploration permit",0,0,0,notice-276.json
012-4619,/notice/012-4619,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-276.json
012-4627,/notice/012-4627,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-405.json
012-4629,/notice/012-4629,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-405.json
012-4637,/notice/012-4637,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-405.json
012-4793,/notice/012-4793,"Fairgate (Ninth Line) Inc.
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-389.json
012-4989,/notice/012-4989,"Great Lakes Power Limited
      
         - Permit to take water",0,0,0,notice-265.json
012-5080,/notice/012-5080,"G. Tackaberry and Sons Construction Company Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,10,notice-364.json
012-5231,/notice/012-5231,"Matt Downey ( Noront Resources Ltd. )
      
         - Mineral exploration permit",0,0,0,notice-405.json
012-5235,/notice/012-5235,"Laverne B. Weber & Erma B. Weber
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,8,0,notice-390.json
012-5253,/notice/012-5253,"Matt Downey ( Noront Resources Ltd. )
      
         - Mineral exploration permit",0,0,0,notice-405.json
012-5535,/notice/012-5535,"Erocon Waste Management Inc.
      
         - Environmental Compliance Approval (waste)",1,0,0,notice-191.json
012-5592,/notice/012-5592,"Hamilton Specialty Bar (2007) Inc.
      
         - Environmental Compliance Approval (air)",1,0,0,notice-334.json
012-5613,/notice/012-5613,"Lafarge Canada Inc - Airport Road
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,11,1,notice-343.json
012-5753,/notice/012-5753,"University of Guelph
      
         - Changes to the site plan for a pit or quarry",0,0,2,notice-383.json
012-5781,/notice/012-5781,"Eco Site Assessors Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-334.json
012-5785,/notice/012-5785,"Wallenstein Feed & Supply Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-334.json
012-5806,/notice/012-5806,Guide: Consideration of Climate Change in Environmental Assessment in Ontario,6,0,15,notice-405.json
012-5830,/notice/012-5830,"Lindsay Mills- Township of South Frontenac
      
         - Approval to amend a municipality’s official plan",0,0,0,notice-336.json
012-5993,/notice/012-5993,"Ken Alberta
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-340.json
012-6016,/notice/012-6016,"Township of Augusta
      
         - Approval to amend a municipality’s official plan",0,0,0,notice-336.json
012-6084,/notice/012-6084,"Niagara Escarpment Commission
      
         - Approval of an amendment to the Niagara Escarpment Plan",0,105,0,notice-282.json
012-6248,/notice/012-6248,"1794791 Ontario Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-379.json
012-6464,/notice/012-6464,"Great Lakes Power Limited
      
         - Permit to take water",0,0,0,notice-266.json
012-6465,/notice/012-6465,"Great Lakes Power Limited
      
         - Permit to take water",0,0,0,notice-266.json
012-6466,/notice/012-6466,"Welded Tube of Canada Corp.
      
         - Environmental Compliance Approval (air)",3,0,0,notice-254.json
012-6583,/notice/012-6583,Fisheries Management Zone (FMZ) 12 fisheries management plan,7,0,3,notice-362.json
012-6654,/notice/012-6654,"Barry & Linda Miles
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-363.json
012-7006,/notice/012-7006,"Winters Earthmoving Inc.
      
         - Changes to the site plan for a pit or quarry",0,2,0,notice-396.json
012-7177,/notice/012-7177,"Brisbin Sand & Gravel Limited
      
         - Changes to the conditions of a licence to operate a pit or quarry",0,0,3,notice-404.json
012-7186,/notice/012-7186,Provincial policy objectives for managing effects of cage aquaculture operations on the quality of water and sediment in Ontario’s waters,7,11,0,notice-375.json
012-7196,/notice/012-7196,Consultation on role of Ontario Municipal Board in Ontario's land use planning system,38,0,327,notice-405.json
012-7403,/notice/012-7403,"Owen Sound Ledgerock Ltd
      
         - Changes to the site plan for a pit or quarry",1,0,8,notice-91.json
012-7448,/notice/012-7448,Revised northern industrial electricity rate program,0,5,0,notice-262.json
012-7487,/notice/012-7487,"Ken Miller Excavating (356119 Ontario Ltd.)
      
         - Issuance of a licence to remove 20,000 tonnes or less of aggregate annually from a pit or quarry",0,3,0,notice-374.json
012-7565,/notice/012-7565,Amendment of the Ministry of Natural Resources and Forestry’s declaration order MNR-75 regarding Environmental Assessment Act requirements for forest management on Crown Lands in Ontario,1,0,1,notice-397.json
012-7616,/notice/012-7616,"Schedule 4 of Bill 204 - The Promoting Affordable Housing Act, 2016",0,0,85,notice-403.json
012-7617,/notice/012-7617,Proposed regulations under the Planning Act,5,0,80,notice-403.json
012-7619,/notice/012-7619,Amendments to Killbear Provincial Park boundary – Crown Land Use Amendment 2014-001,6,19,1,notice-84.json
012-7763,/notice/012-7763,Northern Ontario multimodal transportation strategy phase 1 report: the Northern Ontario context: implications and considerations for strategy development,3,345,0,notice-404.json
012-7790,/notice/012-7790,"Halton Crushed Stone Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,13,notice-313.json
012-7795,/notice/012-7795,"2223117 Ontario Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,5,0,notice-123.json
012-7797,/notice/012-7797,"Lafarge Canada Inc - Airport Road
      
         - Changes to the site plan for a pit or quarry",0,2,0,notice-84.json
012-7896,/notice/012-7896,Intercity bus modernization proposal,26,0,72,notice-405.json
012-7923,/notice/012-7923,Discussion paper: Developing a modern renewable fuel standard for gasoline in Ontario,8,0,34,notice-405.json
012-8101,/notice/012-8101,"GFL Environmental Inc
      
         - Environmental Compliance Approval (waste)",2,0,0,notice-157.json
012-8119,/notice/012-8119,"Colacem Canada Inc.
      
         - Environmental Compliance Approval (sewage)",121,0,0,notice-364.json
012-8124,/notice/012-8124,"Colacem Canada Inc.
      
         - Environmental Compliance Approval (air)",107,0,6,notice-364.json
012-8153,/notice/012-8153,Consultation on proposal for municipal asset management planning regulation,1,0,0,notice-401.json
012-8179,/notice/012-8179,Amendments to the Exploration Plans and Exploration Permits Regulation and the Provincial Standards for Early Exploration,4,4,0,notice-402.json
012-8198,/notice/012-8198,Proposed amendments to Regulation 334 under the Environmental Assessment Act,0,0,0,notice-286.json
012-8205,/notice/012-8205,"Fednav Limited/Fednav Limitee
      
         - Environmental Compliance Approval (air)",0,0,0,notice-321.json
012-8208,/notice/012-8208,"The proposed regulations, which would be made under the Building Code Act, 1992, would establish interim amendments to the existing Building Code (O. Reg. 332/12) and the interim amendments could be included in the next Building Code",2,0,0,notice-381.json
012-8238,/notice/012-8238,"McCann Redi-Mix Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",8,10,9,notice-297.json
012-8240,/notice/012-8240,"Dalron Construction Limited
      
         - Permit for activities to achieve an overall benefit to a species",0,33,0,notice-321.json
012-8249,/notice/012-8249,Building a wildlife management strategy for Ontario: discussion paper,14,13,1,notice-115.json
012-8351,/notice/012-8351,"Clevelands House Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-118.json
012-8523,/notice/012-8523,"Preston Sand & Gravel Company Ltd.
      
         - Changes to the site plan for a pit or quarry",1,49,0,notice-188.json
012-8535,/notice/012-8535,"Gott Enterprises Inc.
      
         - Permit to take water",0,0,0,notice-122.json
012-8567,/notice/012-8567,"Regulation for the issuance of new land use permits in accordance with Section 14 (2.1) of the Provincial Parks and Conservation Reserves Act, 2006",2,0,0,notice-398.json
012-8583,/notice/012-8583,Amendments to Ontario Regulation 455/09 and creation of a new services documents regulation under the Toxics Reduction Act,3,8,0,notice-403.json
012-8619,/notice/012-8619,"English River Forest
      
         - Forest management plan",0,26,2,notice-386.json
012-8623,/notice/012-8623,"A proposal to issue a guidance document to provide further clarification on Ontario Regulation 240/00, Schedule 2, Items 3(ii), 3(iii) and 4(vii), as it relates to site boundary and land tenure that must be included in closure plans and closure plan...",1,0,0,notice-262.json
012-8680,/notice/012-8680,Third party advertising along provincial highways,212,2,2,notice-313.json
012-8685,/notice/012-8685,Ontario’s Crown Forests: Opportunities to enhance carbon storage? A discussion paper,19,14,0,notice-345.json
012-8727,/notice/012-8727,MTO discussion paper on electric vehicle incentive initiatives under the Climate Change Action Plan,79,0,3,notice-402.json
012-8749,/notice/012-8749,"Wesdome Gold Mines Ltd. 
      
         - Environmental Compliance Approval (air)",0,0,0,notice-283.json
012-8767,/notice/012-8767,"Lavis Contracting Co. Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,0,5,notice-256.json
012-8772,/notice/012-8772,MTO Discussion Paper on Cycling Initiatives under the Climate Change Action Plan,108,0,18,notice-402.json
012-8789,/notice/012-8789,"Greg Wong (Plato Gold Corp.) 
      
         - Mineral exploration permit",0,0,0,notice-362.json
012-8813,/notice/012-8813,"Skead Holdings Ltd.
      
         - Mineral exploration permit",0,0,0,notice-366.json
012-8814,/notice/012-8814,"Skead Holdings Ltd.
      
         - Mineral exploration permit",0,0,0,notice-366.json
012-8815,/notice/012-8815,"Skead Holdings Ltd.
      
         - Mineral exploration permit",0,0,0,notice-366.json
012-8840,/notice/012-8840,Planning Ontario's energy future: A discussion guide to start the conversation,1555,200,0,notice-405.json
012-8873,/notice/012-8873,"Colonial Brick and Stone Inc.
      
         - Changes to the site plan for a pit or quarry",1,3,0,notice-333.json
012-8878,/notice/012-8878,"Primero Mining Corp.
      
         - Acknowledging receipt of a closure plan for a mine production project",0,0,0,notice-367.json
012-8890,/notice/012-8890,Northern Ontario multimodal transportation strategy discussion paper: Towards a Northern Ontario Multimodal Transportation Strategy,9,83,0,notice-404.json
012-8950,/notice/012-8950,"Harte Gold Corporation
      
         - Permit to take water",0,0,0,notice-368.json
012-9087,/notice/012-9087,"Peter Caldbick (Agent for claim holders) 
      
         - Mineral exploration permit",0,0,0,notice-366.json
012-9093,/notice/012-9093,"Vicdom Sand & Gravel (Ontario) Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",2,7,0,notice-148.json
012-9177,/notice/012-9177,"Norman Campbell Construction Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,7,notice-233.json
012-9180,/notice/012-9180,"Clean Harbors Canada, Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-124.json
012-9182,/notice/012-9182,"Dufferin Aggregates, a Division of CRH Canada Group Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",2,7,0,notice-390.json
012-9183,/notice/012-9183,"Dufferin Aggregates, a Division of CRH Canada Group Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",2,9,0,notice-390.json
012-9218,/notice/012-9218,"Kirkland Lake Gold Inc. 
      
         - Amendment to a closure plan",0,0,0,notice-103.json
012-9242,/notice/012-9242,"Hornepayne Power Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-201.json
012-9279,/notice/012-9279,"AAROC Aggregates Limited, c/o William L. Bradshaw Survey and Eng. Services
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,64,0,notice-313.json
012-9302,/notice/012-9302,"36569 Yukon Inc. - North Cobalt Refinery
      
         - Order to rehabilitate a closure measure",0,0,0,notice-266.json
012-9381,/notice/012-9381,"Proposed Transitional Operating Agreement between the Minister of the Environment and Climate Change and the Resource Productivity and Recovery Authority under the Resource Recovery and Circular Economy Act, 2016",5,12,0,notice-260.json
012-9536,/notice/012-9536,"Jacobson Property and Holding Corporation
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-394.json
012-9646,/notice/012-9646,"Algonquin Power Corporation Inc. and Algonquin Power (Long Sault) Corporation (Algonquin Power (Long Sault) Partnership) 
      
         - Permit to take water",0,0,0,notice-266.json
012-9685,/notice/012-9685,"Amendments to management direction for Nimoosh, Pukaskwa River, Gravel River, Kama Hills, Ruby Lake, Black Sturgeon River and Ouimet Canyon provincial parks",0,0,2,notice-359.json
012-9694,/notice/012-9694,Proposed Regulation for the establishment of requirements and standards with respect to secondary residential units: Parking requirements for second residential units; Occupancy requirements for the primary unit or second residential unit; and...,12,0,0,notice-298.json
012-9714,/notice/012-9714,"Canadian Malartic Corporation 
      
         - Amendment to a closure plan",0,0,0,notice-365.json
012-9741,/notice/012-9741,"An individual landowner (C/O Paula Lombardi)
      
         - Permit for activities to achieve an overall benefit to a species",3,0,0,notice-77.json
012-9791,/notice/012-9791,Strategic policy for bait management in Ontario,280,0,15,notice-369.json
012-9802,/notice/012-9802,"Nadin Contracting Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,46,notice-195.json
012-9809,/notice/012-9809,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-285.json
012-9843,/notice/012-9843,"Carmeuse Lime (Canada) Limited
      
         - Changes to the conditions of a licence to operate a pit or quarry",18,130,920,notice-162.json
012-9845,/notice/012-9845,"Carmeuse Lime (Canada) Limited 
      
         - Changes to the conditions of a licence to operate a pit or quarry",15,133,920,notice-162.json
012-9848,/notice/012-9848,"Carmeuse Lime (Canada) Limited
      
         - Changes to the conditions of a licence to operate a pit or quarry",15,133,920,notice-162.json
012-9849,/notice/012-9849,"Carmeuse Lime (Canada) Limited
      
         - Changes to the site plan for a pit or quarry",22,126,920,notice-162.json
012-9850,/notice/012-9850,"Carmeuse Lime (Canada) Limited
      
         - Changes to the site plan for a pit or quarry",20,128,920,notice-162.json
012-9852,/notice/012-9852,"Carmeuse Lime (Canada) Limited
      
         - Changes to the site plan for a pit or quarry",30,118,920,notice-162.json
012-9879,/notice/012-9879,"Johnston Bros. (Bothwell) Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,3,4,notice-124.json
012-9905,/notice/012-9905,"Freymond Lumber Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",14,83,0,notice-192.json
012-9958,/notice/012-9958,"Administrative Penalties Regulation under the Waste Diversion Transition Act, 2016",0,7,0,notice-405.json
012-9971,/notice/012-9971,Canada-Ontario Action Plan for Lake Erie,22,2205,0,notice-404.json
013-0003,/notice/013-0003,"409315 Ontario Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-383.json
013-0023,/notice/013-0023,"Southwest United Canada Inc.
      
         - Approval to register for a technical standard for air pollution (industry standard)",0,0,0,notice-374.json
013-0051,/notice/013-0051,"Tackaberry Sand and Stone
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,4,0,notice-372.json
013-0052,/notice/013-0052,"Tackaberry Sand and Stone
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,5,0,notice-372.json
013-0055,/notice/013-0055,"E.S. Johnston Farms Ltd.
      
         - Changes to the site plan for a pit or quarry",0,0,0,notice-396.json
013-0089,/notice/013-0089,"Canadian Hydro Developers, Inc.
      
         - Permit to take water",0,0,0,notice-261.json
013-0113,/notice/013-0113,"Lafarge Canada Inc - Airport Road
      
         - Changes to the conditions of a licence to operate a pit or quarry",0,0,2,notice-383.json
013-0119,/notice/013-0119,"Arvo Salo
      
         - Mineral exploration permit",0,0,0,notice-285.json
013-0129,/notice/013-0129,"Essar Steel Algoma Inc.
      
         - Order to rehabilitate a closure measure",0,0,0,notice-272.json
013-0190,/notice/013-0190,Identifying a Province-wide Cycling Network,206,0,43,notice-403.json
013-0196,/notice/013-0196,Mining sites - Industry standard under the Local Air Quality Regulation (O. Reg. 419/05),3,0,3,notice-404.json
013-0217,/notice/013-0217,"The Corporation of the Town of Atikokan
      
         - Multiple orders",0,0,0,notice-336.json
013-0222,/notice/013-0222,"Carmichael GP Inc.
      
         - Permit to take water",0,0,0,notice-266.json
013-0263,/notice/013-0263,"Robert Valliant (Tri Origin Exploration Ltd.)
      
         - Mineral exploration permit",0,0,0,notice-366.json
013-0276,/notice/013-0276,"North Pickering Community Management Inc.
      
         - Permit for activities to achieve an overall benefit to a species",2,0,0,notice-345.json
013-0284,/notice/013-0284,"Joe Mumby Septic Tank Pumping 
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-263.json
